Software, Platform, Availability, License, Version, Persistence Specification
 Apache Cayenne, Java Virtual Machine, Open source, Apache License 2.0, 3.0.2 / July 21  2011, 
 Dapper, .NET 4.0, Open source, Apache License 2.0, 1.8 NuGet, 
 DataNucleus, Java Virtual Machine, Open source, Apache License 2, 4.1.0.RELEASE / May 19  2015, JDO
 DBIx::Class, Perl, Open source, Artistic License 1.0 & GPL, 0.082820 / {{release date|2015|03|20}}[1], 
 Django, Python, Open source, BSD licenses, 2.1 (1 August 2018), 
 Doctrine, PHP, Open source, MIT, 2.4/April 8  2014, 
 EclipseLink, Java Virtual Machine, Open source, Eclipse Public License Version 1.0 (EPL) and Eclipse Distribution License Version 1.0 (EDL), 2.4.2 / July 4  2013, JPA 2.0
 Entity Framework Core, .net core, Open Source, Apache License 2.0, 2.0, 
 Hibernate, Java Virtual Machine, Open source, GNU Lesser General Public License, 4.2.5 / August 28  2013, JPA 2.0
 MyBatis/iBATIS, Cross-platform, Open source, Apache License 2.0, , 
 jOOQ, Java Virtual Machine, Open source, Apache License 2.0 and Proprietary License, 3.2.0 / October 9  2013, 
 Microsoft ADO.NET Entity Framework, .NET 4.5, Part of .NET 4.5, Apache License 2.0[2], v6.0 (2014), 
 nHibernate, .NET 4.5, Open source, GNU Lesser General Public License, 4.0 (2014-08-17[3]), 
 ODB, Cross-platform C++, Dual-licensed, GNU General Public License and Proprietary License, 2.4.0 / February 11  2015, 
 RedBeanPHP, PHP, Open source, BSD License, 4/April 1  2014, 
 SQLAlchemy, Python, Open source, MIT License, 1.2.14 / {{release date|2018|11|10}}, 
 SQLObject, Python, Open source, LGPL, 3.7.3 / {{release date|2019|10|22}}, 
 Skipper, PHP, Commercial, Proprietary software, 3.0, 
 Storm, Python, Open source, LGPL 2.1, 0.20 / {{release date|2013|06|28}}, 
 TopLink, Java Virtual Machine, Commercial, Oracle License, 10g, JPA
 WebORB Integration Server, .NET  Java  PHP, Commercial & Open source, WebORB for .NET and WebORB for Java = Proprietary License  WebORB for PHP = Mozilla Public License, WebORB for .NET v.4.2 (Oct 2010)  WebORB for Java v.4.0 (Sep 2010)  WebORB for PHP (Sep 2008), 
 